lang	key	url
en	en-cambridge	https://www.cam.ac.uk
en	en-oxford	https://www.ox.ac.uk
en	en-imperial	https://www.imperial.ac.uk
en	en-ucl	https://www.ucl.ac.uk
en	en-edinburgh	https://www.ed.ac.uk
de	de-tum	https://www.tum.de
de	de-lmu	https://www.lmu.de
de	de-heidelberg	https://www.uni-heidelberg.de
de	de-huberlin	https://www.hu-berlin.de
de	de-koeln	https://www.uni-koeln.de
fr	fr-sorbonne	https://www.sorbonne-universite.fr
fr	fr-sciencespo	https://www.sciencespo.fr
fr	fr-lyon1	https://www.univ-lyon1.fr
fr	fr-lille	https://www.univ-lille.fr
fr	fr-paris-saclay	https://www.universite-paris-saclay.fr
es	es-ucm	https://www.ucm.es
es	es-ub	https://www.ub.edu
es	es-upm	https://www.upm.es
es	es-us	https://www.us.es
es	es-uv	https://www.uv.es
it	it-unibo	https://www.unibo.it
it	it-sapienza	https://www.uniroma1.it
it	it-unimi	https://www.unimi.it
it	it-polimi	https://www.polimi.it
it	it-unipd	https://www.unipd.it
nl	nl-uva	https://www.uva.nl
nl	nl-uu	https://www.uu.nl
nl	nl-rug	https://www.rug.nl
nl	nl-tudelft	https://www.tudelft.nl
nl	nl-leiden	https://www.universiteitleiden.nl
pl	pl-uw	https://www.uw.edu.pl
pl	pl-uj	https://www.uj.edu.pl
pl	pl-agh	https://www.agh.edu.pl
pl	pl-pw	https://www.pw.edu.pl
pl	pl-amu	https://www.amu.edu.pl
