lang	key	url
en	en-hsbcuk	https://www.hsbc.co.uk
en	en-barclays	https://www.barclays.co.uk
en	en-lloyds	https://www.lloydsbank.com
en	en-santanderuk	https://www.santander.co.uk
en	en-wise	https://wise.com
de	de-deutschebank	https://www.deutsche-bank.de
de	de-commerzbank	https://www.commerzbank.de
de	de-sparkasse	https://www.sparkasse.de
de	de-ing	https://www.ing.de
de	de-allianz	https://www.allianz.de
fr	fr-bnpparibas	https://mabanque.bnpparibas
fr	fr-creditagricole	https://www.credit-agricole.fr
fr	fr-societegenerale	https://particuliers.sg.fr
fr	fr-caisseepargne	https://www.caisse-epargne.fr
fr	fr-axa	https://www.axa.fr
es	es-bbva	https://www.bbva.es
es	es-santander	https://www.bancosantander.es
es	es-caixabank	https://www.caixabank.es
es	es-bankinter	https://www.bankinter.com
es	es-mapfre	https://www.mapfre.es
it	it-intesa	https://www.intesasanpaolo.com
it	it-unicredit	https://www.unicredit.it
it	it-poste	https://www.poste.it
it	it-generali	https://www.generali.it
it	it-fineco	https://finecobank.com
nl	nl-ing	https://www.ing.nl
nl	nl-rabobank	https://www.rabobank.nl
nl	nl-abnamro	https://www.abnamro.nl
nl	nl-nn	https://www.nn.nl
nl	nl-bunq	https://www.bunq.com
pl	pl-pkobp	https://www.pkobp.pl
pl	pl-pekao	https://www.pekao.com.pl
pl	pl-mbank	https://www.mbank.pl
pl	pl-ing	https://www.ing.pl
pl	pl-pzu	https://www.pzu.pl
