lang	key	url
en	en-tesco	https://www.tesco.com
en	en-sainsburys	https://www.sainsburys.co.uk
en	en-waitrose	https://www.waitrose.com
en	en-deliveroo	https://deliveroo.co.uk
en	en-justeat	https://www.just-eat.co.uk
de	de-rewe	https://www.rewe.de
de	de-edeka	https://www.edeka.de
de	de-lidl	https://www.lidl.de
de	de-lieferando	https://www.lieferando.de
de	de-hellofresh	https://www.hellofresh.de
fr	fr-carrefour	https://www.carrefour.fr
fr	fr-auchan	https://www.auchan.fr
fr	fr-picard	https://www.picard.fr
fr	fr-deliveroo	https://deliveroo.fr
fr	fr-mcdonalds	https://www.mcdonalds.fr
es	es-mercadona	https://www.mercadona.es
es	es-carrefour	https://www.carrefour.es
es	es-dia	https://www.dia.es
es	es-glovo	https://glovoapp.com/es
es	es-telepizza	https://www.telepizza.es
it	it-esselunga	https://www.esselunga.it
it	it-coop	https://www.coop.it
it	it-conad	https://www.conad.it
it	it-eataly	https://www.eataly.net
it	it-deliveroo	https://deliveroo.it
nl	nl-ah	https://www.ah.nl
nl	nl-jumbo	https://www.jumbo.com
nl	nl-plus	https://www.plus.nl
nl	nl-picnic	https://www.picnic.app/nl
nl	nl-thuisbezorgd	https://www.thuisbezorgd.nl
pl	pl-biedronka	https://www.biedronka.pl
pl	pl-lidl	https://www.lidl.pl
pl	pl-frisco	https://www.frisco.pl
pl	pl-pyszne	https://www.pyszne.pl
pl	pl-carrefour	https://www.carrefour.pl
