lang	key	url
en	en-nhs	https://www.nhs.uk
en	en-mayoclinic	https://www.mayoclinic.org
en	en-clevelandclinic	https://my.clevelandclinic.org
de	de-tk	https://www.tk.de
de	de-aok	https://www.aok.de
de	de-helios	https://www.helios-gesundheit.de
fr	fr-doctolib	https://www.doctolib.fr
fr	fr-ameli	https://www.ameli.fr
fr	fr-chulyon	https://www.chu-lyon.fr
es	es-sanitas	https://www.sanitas.es
es	es-quironsalud	https://www.quironsalud.com
es	es-mapfresalud	https://www.salud.mapfre.es
it	it-humanitas	https://www.humanitas.it
it	it-grupposandonato	https://www.grupposandonato.it
it	it-salute	https://www.salute.gov.it
nl	nl-thuisarts	https://www.thuisarts.nl
nl	nl-zorgkaart	https://www.zorgkaartnederland.nl
nl	nl-zilverenkruis	https://www.zilverenkruis.nl
pl	pl-znanylekarz	https://www.znanylekarz.pl
pl	pl-luxmed	https://www.luxmed.pl
pl	pl-pacjent	https://pacjent.gov.pl
