lang	key	url
en	en-premierinn	https://www.premierinn.com/gb/en/home.html
en	en-travelodge	https://www.travelodge.co.uk
en	en-hilton	https://www.hilton.com/en/
en	en-marriott	https://www.marriott.com/en-gb/default.mi
en	en-ihg	https://www.ihg.com/hotels/gb/en/reservation
de	de-motelone	https://www.motel-one.com/de/
de	de-maritim	https://www.maritim.de/de
de	de-meininger	https://www.meininger-hotels.com/de/
de	de-ao	https://www.aohostels.com/de/
de	de-hhotels	https://www.h-hotels.com/de/
fr	fr-accor	https://all.accor.com/fr/
fr	fr-bbhotels	https://www.hotel-bb.com/fr
fr	fr-logis	https://www.logishotels.com/fr/
fr	fr-campanile	https://www.campanile.com/fr-fr/
fr	fr-kyriad	https://www.kyriad.com/fr-fr/
es	es-melia	https://www.melia.com/es
es	es-nhhotels	https://www.nh-hotels.com/es
es	es-barcelo	https://www.barcelo.com/es-es/
es	es-paradores	https://www.paradores.es
es	es-eurostars	https://www.eurostarshotels.com
it	it-bestwestern	https://www.bestwestern.it
it	it-gruppouna	https://www.gruppouna.it
it	it-starhotels	https://www.starhotels.com/it/
it	it-thresorts	https://www.th-resorts.com
it	it-bluserena	https://www.bluserena.it
nl	nl-vandervalk	https://www.valk.com
nl	nl-fletcher	https://www.fletcher.nl
nl	nl-bastion	https://www.bastionhotels.com
nl	nl-citizenm	https://www.citizenm.com
nl	nl-roompot	https://www.roompot.nl
pl	pl-arche	https://www.archehotel.pl
pl	pl-golebiewski	https://www.golebiewski.pl
pl	pl-qhotel	https://www.qhotels.pl
pl	pl-nocowanie	https://www.nocowanie.pl
pl	pl-hotele	https://www.hotele.pl
