lang	key	url
fr	fr-doctolib	https://www.doctolib.fr
pl	pl-sport	https://www.sport.pl
fr	fr-campanile	https://www.campanile.com/fr-fr/
es	es-as	https://as.com
en	en-englandfootball	https://www.englandfootball.com
pl	pl-amu	https://www.amu.edu.pl
es	es-upm	https://www.upm.es
en	en-marriott	https://www.marriott.com/en-gb/default.mi
it	it-bestwestern	https://www.bestwestern.it
it	it-starhotels	https://www.starhotels.com/it/
es	es-bbva	https://www.bbva.es
de	de-koeln	https://www.uni-koeln.de
de	de-tk	https://www.tk.de
pl	pl-pzpn	https://www.pzpn.pl
pl	pl-uw	https://www.uw.edu.pl
nl	nl-bastion	https://www.bastionhotels.com
pl	pl-hotele	https://www.hotele.pl
en	en-jdsports	https://www.jdsports.co.uk
fr	fr-logis	https://www.logishotels.com/fr/
es	es-caixabank	https://www.caixabank.es
en	en-premierleague	https://www.premierleague.com
de	de-bundesliga	https://www.bundesliga.com/de/bundesliga
de	de-rewe	https://www.rewe.de
it	it-fineco	https://finecobank.com
pl	pl-agh	https://www.agh.edu.pl
