lang	key	url
en	en-premierleague	https://www.premierleague.com
en	en-skysports	https://www.skysports.com
en	en-britishcycling	https://www.britishcycling.org.uk
en	en-englandfootball	https://www.englandfootball.com
en	en-jdsports	https://www.jdsports.co.uk
de	de-kicker	https://www.kicker.de
de	de-bundesliga	https://www.bundesliga.com/de/bundesliga
de	de-dfb	https://www.dfb.de
de	de-sport1	https://www.sport1.de
de	de-decathlon	https://www.decathlon.de
fr	fr-lequipe	https://www.lequipe.fr
fr	fr-fff	https://www.fff.fr
fr	fr-psg	https://www.psg.fr
fr	fr-rmc-sport	https://rmcsport.bfmtv.com
fr	fr-decathlon	https://www.decathlon.fr
es	es-marca	https://www.marca.com
es	es-as	https://as.com
es	es-laliga	https://www.laliga.com
es	es-rfef	https://rfef.es
es	es-decathlon	https://www.decathlon.es
it	it-gazzetta	https://www.gazzetta.it
it	it-figc	https://www.figc.it
it	it-seriea	https://www.legaseriea.it
it	it-inter	https://www.inter.it/it
it	it-decathlon	https://www.decathlon.it
nl	nl-knvb	https://www.knvb.nl
nl	nl-voetbal	https://www.voetbal.nl
nl	nl-sportnieuws	https://www.sportnieuws.nl
nl	nl-teamnl	https://www.teamnl.org
nl	nl-decathlon	https://www.decathlon.nl
pl	pl-sport	https://www.sport.pl
pl	pl-przegladsportowy	https://przegladsportowy.onet.pl
pl	pl-pzpn	https://www.pzpn.pl
pl	pl-legia	https://legia.com
pl	pl-decathlon	https://www.decathlon.pl
