lang	key	url
en	en-britishairways	https://www.britishairways.com
en	en-heathrow	https://www.heathrow.com
en	en-nationalrail	https://www.nationalrail.co.uk
de	de-bahn	https://www.bahn.de
de	de-tui	https://www.tui.com
de	de-dertour	https://www.dertour.de
fr	fr-parisaeroport	https://www.parisaeroport.fr
fr	fr-ouigo	https://www.ouigo.com
fr	fr-voyagespirates	https://www.voyagespirates.fr
es	es-aena	https://www.aena.es
es	es-spaininfo	https://www.spain.info
es	es-edreams	https://www.edreams.es
it	it-trenitalia	https://www.trenitalia.com
it	it-italia	https://www.italia.it
it	it-alpitour	https://www.alpitour.it
nl	nl-ns	https://www.ns.nl
nl	nl-holland	https://www.holland.com
nl	nl-corendon	https://www.corendon.nl
pl	pl-lot	https://www.lot.com
pl	pl-itaka	https://www.itaka.pl
pl	pl-epodroznik	https://www.e-podroznik.pl
